city_norm,item_id,sept_actual_sales
dehradun,10000295,467.0
delhi,10000295,7762.0
deoghar,10000295,143.0
deoria,10000295,28.0
dewas,10000295,5.0
dhanbad,10000295,440.0
dharamshala,10000295,6.0
dharwad,10000295,38.0
durg,10000295,91.0
durgapur,10000295,310.0
eluru,10000295,3.0
erode,10000295,3.0
faridabad,10000295,908.0
farrukhabad,10000295,11.0
fatehpur,10000295,19.0
firozabad,10000295,13.0
firozpur,10000295,12.0
gandhidham,10000295,25.0
gaya,10000295,193.0
ghaziabad,10000295,2015.1
goa,10000295,216.0
gonda,10000295,27.0
gorakhpur,10000295,346.0
gulbarga,10000295,18.0
guntur,10000295,8.0
gurgaon,10000295,3676.0
guwahati,10000295,712.0
gwalior,10000295,85.0
haldwani,10000295,85.0
hamirpur,10000295,11.0
hapur,10000295,16.0
haridwar,10000295,93.0
hassan,10000295,5.0
hazaribagh,10000295,122.0
hisar,10000295,36.0
hoshiarpur,10000295,15.0
hosur,10000295,10.0
hubli,10000295,38.0
hyderabad,10000295,1141.0
indore,10000295,311.0
jabalpur,10000295,96.0
jaipur,10000295,874.0
jalandhar,10000295,192.0
jalgaon,10000295,8.0
jammu,10000295,78.0
jamnagar,10000295,29.0
jamshedpur,10000295,822.0
jaunpur,10000295,32.0
jhansi,10000295,83.0
jind,10000295,10.0
jodhpur,10000295,70.0
kaithal,10000295,5.0
kakinada,10000295,9.0
kalol,10000295,1.0
kanpur,10000295,885.0
kapurthala,10000295,11.0
karnal,10000295,51.0
kashipur,10000295,4.0
khanna,10000295,16.0
kharagpur,10000295,114.0
kharar,10000295,189.0
kochi,10000295,56.0
kolhapur,10000295,14.0
kolkata,10000295,9804.0
kota,10000295,133.0
kotdwar,10000295,10.0
kottayam,10000295,7.0
kozhikode,10000295,12.0
kurnool,10000295,6.0
kurukshetra,10000295,17.0
lakhimpur,10000295,41.0
latur,10000295,10.0
lonavala,10000295,9.0
lucknow,10000295,3397.0
ludhiana,10000295,224.0
madurai,10000295,3.0
mainpuri,10000295,5.0
manali,10000295,1.0
mangaluru,10000295,20.0
manipal,10000295,31.0
mathura,10000295,79.0
meerut,10000295,262.0
mehsana,10000295,16.0
modinagar,10000295,24.0
moga,10000295,8.0
mohali,10000295,288.0
moradabad,10000295,103.0
morbi,10000295,2.0
mumbai,10000295,2936.0
muzaffarnagar,10000295,23.0
muzaffarpur,10000295,344.0
mysore,10000295,46.0
nadiad,10000295,2.0
nagpur,10000295,222.0
nanded,10000295,11.0
narmadapuram,10000295,10.0
nashik,10000295,46.0
navsari,10000295,15.0
nellore,10000295,10.0
nizamabad,10000295,1.0
noida,10000295,4701.9
palwal,10000295,17.0
panchkula,10000295,111.0
panipat,10000295,49.0
pathankot,10000295,19.0
patiala,10000295,93.0
patna,10000295,3410.0
phagwara,10000295,15.0
prayagraj,10000295,402.0
puducherry,10000295,9.0
pune,10000295,1967.0
puri,10000295,36.0
purnia,10000295,188.0
raebareli,10000295,48.0
raipur,10000295,257.0
rajahmundry,10000295,7.0
rajkot,10000295,60.0
rajpura,10000295,12.0
rampur,10000295,29.0
ranchi,10000295,1544.0
ratlam,10000295,7.0
rewa,10000295,21.0
rewari,10000295,38.0
rishikesh,10000295,52.0
rohtak,10000295,101.0
roorkee,10000295,32.0
rudrapur,10000295,50.0
saharanpur,10000295,24.0
salem,10000295,3.0
sangli,10000295,2.0
sangrur,10000295,7.0
satara,10000295,12.0
satna,10000295,21.0
shillong,10000295,72.0
shimoga,10000295,11.0
sikar,10000295,14.0
siliguri,10000295,272.0
sirsa,10000295,13.0
sitapur,10000295,31.0
solan,10000295,29.0
solapur,10000295,13.0
sonipat,10000295,139.0
sri ganganagar,10000295,5.0
sundar nagar,10000295,5.0
surat,10000295,137.0
thrissur,10000295,7.0
tiruchirappalli,10000295,6.0
tirupati,10000295,11.0
trivandrum,10000295,9.0
tumkur,10000295,7.0
udaipur,10000295,99.0
udupi,10000295,21.0
ujjain,10000295,23.0
una,10000295,5.0
unnao,10000295,17.0
vadodara,10000295,313.0
vapi,10000295,26.0
varanasi,10000295,417.0
vellore,10000295,11.0
vijayawada,10000295,44.0
vizag,10000295,94.0
vizianagaram,10000295,10.0
vrindavan,10000295,41.0
warangal,10000295,16.0
yamunanagar,10000295,37.0
zirakpur,10000295,206.0
agra,10000296,28.0
ahmedabad,10000296,81.0
ahmednagar,10000296,1.0
ajmer,10000296,4.0
akola,10000296,1.0
aligarh,10000296,14.0
alwar,10000296,10.0
ambala,10000296,3.0
amravati,10000296,2.0
amritsar,10000296,21.0
anand,10000296,3.0
ankleshwar,10000296,1.0
asansol,10000296,18.0
aurangabad,10000296,7.0
ayodhya,10000296,7.0
baddi,10000296,3.0
bahadurgarh,10000296,5.0
ballari,10000296,19.0
barabanki,10000296,5.0
bardhaman,10000296,19.0
bareilly,10000296,15.0
batala,10000296,3.0
bathinda,10000296,1.0
begusarai,10000296,4.0
belgaum,10000296,5.0
bengaluru,10000296,340.0
berhampur,10000296,5.0
bhagalpur,10000296,18.0
bhavnagar,10000296,2.0
bhimavaram,10000296,5.0
bhiwadi,10000296,6.0
bhiwani,10000296,2.0
bhubaneswar,10000296,45.0
bidar,10000296,6.0
bijapur,10000296,3.0
bikaner,10000296,6.0
bokaro,10000296,2.0
chandigarh,10000296,19.0
chennai,10000296,117.0
coimbatore,10000296,7.0
cuttack,10000296,15.0
darbhanga,10000296,3.0
davanagere,10000296,4.0
delhi,10000296,384.0
deoghar,10000296,5.0
deoria,10000296,5.0
dhanbad,10000296,21.0
dharamshala,10000296,5.0
dharwad,10000296,2.0
durg,10000296,9.0
durgapur,10000296,6.0
eluru,10000296,7.0
erode,10000296,1.0
faridabad,10000296,26.0
farrukhabad,10000296,2.0
fatehpur,10000296,4.0
firozabad,10000296,2.0
firozpur,10000296,1.0
