tcpl_plant_code,item_id,forecasted_qty
1135.0,10000197,63.690422
1135.0,10000295,2882.6624
1135.0,10000296,280.2699
1135.0,10000867,2669.7012
1135.0,10002610,2407.6794
1135.0,10004348,39.234997
1135.0,10004350,66.51462
1135.0,10004351,100.72452
1135.0,10004352,28.69611
1135.0,10005131,2212.127
1135.0,10005305,258.72382
1135.0,10005887,66.441216
1135.0,10005893,842.4337
1135.0,10006105,1417.7798
1135.0,10006205,239.34152
1135.0,10006207,671.31537
1135.0,10006611,66.77597
1135.0,10007027,4743.1875
1135.0,10007028,499.10938
1135.0,10007377,2286.05
1135.0,10007924,1577.1625
1135.0,10009040,1.7093841
1135.0,10011132,91.18983
1135.0,10015803,0.0
1135.0,10015807,1317.2476
1135.0,10015808,937.63696
1135.0,10037403,256.96152
1135.0,10037406,1634.7893
1135.0,10037407,1650.0802
1135.0,10062514,47.67418
1135.0,10065362,200.46574
1135.0,10073508,87.148544
1135.0,10073511,2.7018602
1135.0,10073514,1374.1879
1135.0,10073515,176.23093
1135.0,10074853,9.292091
1135.0,10106292,111.43602
1135.0,10110034,416.6579
1135.0,10113337,310.45435
1135.0,10140052,81.665184
1135.0,10144355,20.968231
1135.0,10144356,86.68888
1135.0,10156714,713.2953
1135.0,10156912,23.709019
1135.0,10159086,315.3702
1135.0,10159513,139.0765
1135.0,10159648,226.4735
1135.0,10159658,257.17328
1135.0,10159659,602.9952
1135.0,10159675,1.099631
1135.0,10159797,263.01538
1135.0,10159798,409.54022
1135.0,10159799,124.61108
1135.0,10160080,139.74384
1135.0,10160081,43.849735
1135.0,10160082,12.136892
1135.0,10160085,47.55731
1135.0,10160329,11.975724
1135.0,10165592,1153.4631
1135.0,10179487,476.71243
1135.0,10179739,769.31165
1135.0,10185710,152.60588
1135.0,10185712,54.74957
1135.0,10246345,1065.9645
1135.0,10246467,1291.5067
1135.0,10246630,18.052437
1135.0,10249409,614.9093
1135.0,10249452,106.251045
1135.0,10250406,4.6605906
1137.0,10000197,110.98171
1137.0,10000295,558.6154
1137.0,10000296,127.57919
1137.0,10000867,660.7643
1137.0,10004348,87.4212
1137.0,10004351,212.77997
1137.0,10004353,31.187199
1137.0,10005887,34.25465
1137.0,10005893,287.63556
1137.0,10006105,731.7517
1137.0,10006205,7.0384684
1137.0,10006207,162.59583
1137.0,10006611,97.97103
1137.0,10007377,394.0344
1137.0,10007703,1224.0131
1137.0,10011100,583.1329
1137.0,10011132,9.888744
1137.0,10015805,1201.2047
1137.0,10015807,906.39197
1137.0,10015808,949.6776
1137.0,10037403,85.9074
1137.0,10037406,598.9599
1137.0,10037407,492.63672
1137.0,10050190,285.61014
1137.0,10073508,7.0196934
1137.0,10073514,365.5417
1137.0,10073515,52.158035
1137.0,10074853,24.10178
1137.0,10075045,556.66003
1137.0,10075046,456.2019
1137.0,10110034,85.049545
1137.0,10113337,62.90706
1137.0,10135678,20.988237
1137.0,10140052,78.264366
1137.0,10144356,2.9105437
1137.0,10145076,68.21663
1137.0,10145077,103.91063
1137.0,10156714,389.96042
1137.0,10156912,11.614727
1137.0,10159513,93.12488
1137.0,10159648,252.1379
1137.0,10159658,158.14786
1137.0,10159659,163.20161
1137.0,10159675,24.543154
1137.0,10159797,63.970413
1137.0,10159798,14.759714
1137.0,10159799,16.53206
1137.0,10160080,75.03008
1137.0,10160081,21.768871
1137.0,10160085,13.812027
1137.0,10160329,3.5517924
1137.0,10165592,601.44073
1137.0,10179739,194.69215
1137.0,10185710,51.483444
1137.0,10185712,20.633305
1137.0,10246345,145.08823
1137.0,10246467,300.4499
1137.0,10246630,3.5323076
1137.0,10249409,69.808876
1137.0,10249452,136.22044
1203.0,10000197,184.41547
1203.0,10000295,1095.8202
1203.0,10000296,139.70862
1203.0,10000867,1068.9254
1203.0,10002072,0.5152841
1203.0,10002610,1027.235
1203.0,10003268,26.813658
1203.0,10004348,78.550964
1203.0,10004350,173.80136
1203.0,10004351,230.8345
1203.0,10004352,112.08454
1203.0,10004353,75.55507
1203.0,10005131,505.19632
1203.0,10005305,92.47666
1203.0,10005887,35.56562
1203.0,10005893,261.5339
1203.0,10006105,327.71603
1203.0,10006205,146.63818
1203.0,10006207,918.06464
1203.0,10006611,327.00528
1203.0,10007027,2993.3018
1203.0,10007028,578.2459
1203.0,10007377,472.09045
1203.0,10007924,455.82455
1203.0,10009040,8.324169
1203.0,10010626,25.264055
1203.0,10011132,23.976377
1203.0,10015807,768.0539
1203.0,10015808,308.3716
1203.0,10037403,52.00973
1203.0,10037406,468.85236
1203.0,10037407,361.542
1203.0,10062514,42.01069
1203.0,10065362,200.52396
1203.0,10073508,133.18846
1203.0,10073514,230.78555
1203.0,10073515,84.13401
1203.0,10106292,49.91045
1203.0,10110034,183.38713
1203.0,10113337,91.78928
1203.0,10140052,143.14899
1203.0,10156714,191.5033
1203.0,10156912,61.072258
1203.0,10159086,248.30609
1203.0,10159513,90.65457
1203.0,10159658,117.41589
1203.0,10159797,202.3584
1203.0,10159798,318.58884
1203.0,10159799,55.832253
1203.0,10160080,74.493645
1203.0,10160081,40.707073
1203.0,10160082,4.573899
1203.0,10160085,18.679766
1203.0,10160329,4.650362
1203.0,10165592,654.20776
1203.0,10179487,247.71512
1203.0,10179739,147.44675
1203.0,10185710,77.83602
1203.0,10185712,58.95534
1203.0,10192259,223.44344
1203.0,10218950,122.316696
1203.0,10246467,249.78374
1208.0,10000197,92.531784
1208.0,10000295,1042.6849
1208.0,10000296,97.02075
1208.0,10000867,3320.9514
1208.0,10002072,7.0236588
1208.0,10002610,190.84862
1208.0,10004348,32.22889
1208.0,10004350,34.911407
1208.0,10004351,120.17379
1208.0,10004352,16.115099
1208.0,10004353,42.157936
1208.0,10005131,1039.2769
1208.0,10005305,69.75276
1208.0,10005887,13.402246
1208.0,10005893,58.341305
1208.0,10006105,331.79474
1208.0,10006205,506.65637
1208.0,10006207,441.4145
1208.0,10006611,210.82172
1208.0,10007027,2510.7314
1208.0,10007028,52.782578
1208.0,10007377,813.56366
1208.0,10007924,562.51587
1208.0,10009040,10.731134
1208.0,10011132,14.394875
1208.0,10015807,366.2003
1208.0,10015808,192.19637
