tcpl_plant_code,item_id,forecasted_qty
1135.0,10000197,85.481735
1135.0,10000295,2571.7334
1135.0,10000296,264.68198
1135.0,10000867,2526.114
1135.0,10002610,2678.41
1135.0,10004348,47.01505
1135.0,10004350,79.01509
1135.0,10004351,121.2375
1135.0,10004352,35.40241
1135.0,10005131,2116.5737
1135.0,10005305,212.4913
1135.0,10005887,64.1163
1135.0,10005893,673.881
1135.0,10006105,1359.178
1135.0,10006205,235.8186
1135.0,10006207,596.0511
1135.0,10006611,74.10732
1135.0,10007027,4557.533
1135.0,10007028,540.666
1135.0,10007377,2210.845
1135.0,10007924,1420.101
1135.0,10009040,1.888
1135.0,10011132,70.76047
1135.0,10015803,0.0
1135.0,10015807,1416.4767
1135.0,10015808,724.3956
1135.0,10037403,250.05687
1135.0,10037406,1467.1738
1135.0,10037407,1558.6918
1135.0,10062514,40.355675
1135.0,10065362,218.1691
1135.0,10073508,95.94869
1135.0,10073511,1.8378514
1135.0,10073514,1326.3713
1135.0,10073515,158.44246
1135.0,10074853,8.361565
1135.0,10106292,102.05835
1135.0,10110034,404.6767
1135.0,10113337,298.60217
1135.0,10140052,116.97179
1135.0,10144355,19.414433
1135.0,10144356,78.65451
1135.0,10156714,541.6401
1135.0,10156912,21.618687
1135.0,10159086,247.7197
1135.0,10159513,133.53049
1135.0,10159648,222.54689
1135.0,10159658,228.92343
1135.0,10159659,546.8539
1135.0,10159675,0.80337024
1135.0,10159797,239.66743
1135.0,10159798,325.0602
1135.0,10159799,111.27021
1135.0,10160080,121.55491
1135.0,10160081,35.539276
1135.0,10160082,12.890456
1135.0,10160085,58.833042
1135.0,10160329,12.890456
1135.0,10165592,936.57947
1135.0,10179487,386.8053
1135.0,10179739,685.5581
1135.0,10185710,156.9881
1135.0,10185712,55.279522
1135.0,10246345,912.58716
1135.0,10246467,1061.7865
1135.0,10246630,15.198429
1135.0,10249409,515.3918
1135.0,10249452,107.304794
1135.0,10250406,3.4359279
1137.0,10000197,108.95884
1137.0,10000295,520.8981
1137.0,10000296,136.58876
1137.0,10000867,572.2474
1137.0,10004348,87.87098
1137.0,10004351,196.33673
1137.0,10004353,28.865557
1137.0,10005887,31.867737
1137.0,10005893,245.70763
1137.0,10006105,613.01855
1137.0,10006205,9.228971
1137.0,10006207,150.01648
1137.0,10006611,93.99156
1137.0,10007377,368.82114
1137.0,10007703,1165.8828
1137.0,10011100,483.51422
1137.0,10011132,11.780785
1137.0,10015805,1090.9429
1137.0,10015807,996.4559
1137.0,10015808,809.7379
1137.0,10037403,86.90139
1137.0,10037406,596.67786
1137.0,10037407,481.13098
1137.0,10050190,259.50662
1137.0,10073508,7.3573895
1137.0,10073514,468.6389
1137.0,10073515,59.90435
1137.0,10074853,25.758064
1137.0,10075045,491.54
1137.0,10075046,426.50677
1137.0,10110034,88.2605
1137.0,10113337,71.82303
1137.0,10135678,3.0080695
1137.0,10140052,83.53167
1137.0,10144356,5.2056108
1137.0,10145076,70.77199
1137.0,10145077,96.49919
1137.0,10156714,378.0212
1137.0,10156912,10.733924
1137.0,10159513,93.80536
1137.0,10159648,222.33832
1137.0,10159658,146.3658
1137.0,10159659,154.75996
1137.0,10159675,29.201622
1137.0,10159797,65.13897
1137.0,10159798,22.358261
1137.0,10159799,18.966606
1137.0,10160080,72.93798
1137.0,10160081,23.08057
1137.0,10160085,16.021435
1137.0,10160329,4.8265357
1137.0,10165592,587.74115
1137.0,10179739,185.06895
1137.0,10185710,55.498104
1137.0,10185712,27.98369
1137.0,10246345,135.49138
1137.0,10246467,296.15317
1137.0,10246630,5.8725276
1137.0,10249409,63.622467
1137.0,10249452,133.02213
1203.0,10000197,195.25142
1203.0,10000295,988.8281
1203.0,10000296,144.11499
1203.0,10000867,999.0273
1203.0,10002072,2.4464173
1203.0,10002610,1033.0945
1203.0,10003268,36.83371
1203.0,10004348,85.40574
1203.0,10004350,170.49242
1203.0,10004351,218.86255
1203.0,10004352,117.69521
1203.0,10004353,83.17734
1203.0,10005131,463.2043
1203.0,10005305,96.90081
1203.0,10005887,41.09611
1203.0,10005893,263.85352
1203.0,10006105,290.32236
1203.0,10006205,142.62704
1203.0,10006207,825.08136
1203.0,10006611,332.47095
1203.0,10007027,2864.6245
1203.0,10007028,570.49146
1203.0,10007377,673.03015
1203.0,10007924,444.873
1203.0,10009040,10.339353
1203.0,10010626,32.67513
1203.0,10011132,31.8428
1203.0,10015807,797.95886
1203.0,10015808,288.68768
1203.0,10037403,59.45598
1203.0,10037406,460.89346
1203.0,10037407,315.058
1203.0,10062514,51.35295
1203.0,10065362,231.47702
1203.0,10073508,134.56178
1203.0,10073514,264.84387
1203.0,10073515,91.053734
1203.0,10106292,49.84923
1203.0,10110034,189.29549
1203.0,10113337,96.7682
1203.0,10140052,151.18896
1203.0,10156714,181.1134
1203.0,10156912,70.16736
1203.0,10159086,231.34624
1203.0,10159513,95.3013
1203.0,10159658,112.66137
1203.0,10159797,201.25084
1203.0,10159798,304.26495
1203.0,10159799,62.402653
1203.0,10160080,78.19339
1203.0,10160081,49.99077
1203.0,10160082,5.8550954
1203.0,10160085,28.062717
1203.0,10160329,5.8550954
1203.0,10165592,633.9952
1203.0,10179487,227.81978
1203.0,10179739,144.38028
1203.0,10185710,86.10896
1203.0,10185712,69.52078
1203.0,10192259,210.50952
1203.0,10218950,132.66196
1203.0,10246467,247.03665
1208.0,10000197,84.010864
1208.0,10000295,907.09656
1208.0,10000296,95.29033
1208.0,10000867,2766.057
1208.0,10002072,11.790777
1208.0,10002610,204.25912
1208.0,10004348,40.87447
1208.0,10004350,42.92608
1208.0,10004351,110.86337
1208.0,10004352,19.041183
1208.0,10004353,52.082756
1208.0,10005131,867.6006
1208.0,10005305,73.775314
1208.0,10005887,17.753975
1208.0,10005893,63.223366
1208.0,10006105,280.1624
1208.0,10006205,458.65005
1208.0,10006207,388.40582
1208.0,10006611,222.4574
1208.0,10007027,2438.7417
1208.0,10007028,61.28708
1208.0,10007377,726.56934
1208.0,10007924,573.3477
1208.0,10009040,16.685497
1208.0,10011132,19.536251
1208.0,10015807,356.3048
1208.0,10015808,160.79584
1208.0,10019702,21.35526
1208.0,10037403,42.115383
1208.0,10037406,255.27417
1208.0,10037407,110.61513
1208.0,10065362,237.00064
1208.0,10073508,89.59389
1208.0,10073514,292.33817
1208.0,10073515,54.790394
1208.0,10106292,42.904484
1208.0,10110034,76.036865
1208.0,10113337,43.224644
1208.0,10140052,119.5806
1208.0,10156714,28.636593
1208.0,10156912,62.777966
1208.0,10159086,258.2818
1208.0,10159513,53.08362
1208.0,10159658,26.564821
1208.0,10159797,111.4064
1208.0,10159798,209.08821
1208.0,10159799,51.68427
1208.0,10160080,41.651756
1208.0,10160081,19.054367
1208.0,10160085,1.7838678
1208.0,10165592,624.063
1208.0,10179487,39.496956
1208.0,10179739,99.6095
1208.0,10185710,22.474503
1208.0,10185712,34.682835
1208.0,10192259,178.8571
1208.0,10246345,27.435715
1208.0,10246467,89.41119
1211.0,10000197,728.45886
1211.0,10000295,2038.1215
1211.0,10000296,227.54825
1211.0,10000867,5061.0986
