city_norm,item_id,oct_actual_sales
bahadurgarh,10000295,49.0
ballari,10000295,33.0
barabanki,10000295,53.0
bardhaman,10000295,254.0
bareilly,10000295,202.0
batala,10000295,8.0
bathinda,10000295,41.0
begusarai,10000295,176.0
belgaum,10000295,40.0
bengaluru,10000295,3854.0
berhampur,10000295,54.0
bhagalpur,10000295,326.0
bharuch,10000295,36.0
bhavnagar,10000295,21.0
bhimavaram,10000295,3.0
bhiwadi,10000295,131.0
bhiwani,10000295,11.0
bhopal,10000295,539.0
bhubaneswar,10000295,720.0
bhuj,10000295,4.0
bidar,10000295,17.0
bihar sharif,10000295,6.0
bijapur,10000295,10.0
bijnor,10000295,5.0
bikaner,10000295,14.0
bilaspur,10000295,35.0
bokaro,10000295,306.0
chandigarh,10000295,29.0
chandrapur,10000295,17.0
chennai,10000295,587.0
coimbatore,10000295,40.0
cuttack,10000295,130.0
darbhanga,10000295,172.0
davanagere,10000295,16.0
dehradun,10000295,582.0
delhi,10000295,7757.0
deoghar,10000295,173.0
deoria,10000295,59.0
dewas,10000295,7.0
dhanbad,10000295,467.0
dharamshala,10000295,5.0
dharwad,10000295,43.0
durg,10000295,109.0
durgapur,10000295,277.0
eluru,10000295,6.0
erode,10000295,8.0
faridabad,10000295,998.0
farrukhabad,10000295,22.0
fatehpur,10000295,24.0
firozabad,10000295,18.0
firozpur,10000295,4.0
gandhidham,10000295,21.0
gaya,10000295,233.0
ghaziabad,10000295,1862.3999999999999
goa,10000295,295.0
gonda,10000295,35.0
gorakhpur,10000295,487.0
gulbarga,10000295,26.0
guntur,10000295,13.0
gurgaon,10000295,3674.0
guwahati,10000295,802.0
gwalior,10000295,86.0
haldwani,10000295,94.0
hamirpur,10000295,19.0
hapur,10000295,15.0
hardoi,10000295,21.0
haridwar,10000295,131.0
hassan,10000295,14.0
hazaribagh,10000295,165.0
hisar,10000295,44.0
hosur,10000295,16.0
hubli,10000295,35.0
hyderabad,10000295,1200.0
indore,10000295,338.0
jabalpur,10000295,136.0
jaipur,10000295,954.0
jalandhar,10000295,98.0
jalgaon,10000295,9.0
jammu,10000295,30.0
jamnagar,10000295,29.0
jamshedpur,10000295,1363.0
jaunpur,10000295,31.0
jhansi,10000295,87.0
jind,10000295,4.0
jodhpur,10000295,109.0
kaithal,10000295,5.0
kakinada,10000295,26.0
kalol,10000295,1.0
kanpur,10000295,996.0
kapurthala,10000295,2.0
karnal,10000295,47.0
kashipur,10000295,11.0
kharagpur,10000295,212.0
kharar,10000295,51.0
kochi,10000295,147.0
kolhapur,10000295,16.0
kolkata,10000295,14655.0
kota,10000295,137.0
kotdwar,10000295,15.0
kottayam,10000295,17.0
kozhikode,10000295,18.0
kurnool,10000295,9.0
kurukshetra,10000295,8.0
lakhimpur,10000295,43.0
latur,10000295,8.0
lonavala,10000295,8.0
lucknow,10000295,3756.0
ludhiana,10000295,55.0
madurai,10000295,7.0
mainpuri,10000295,11.0
manali,10000295,3.0
mangaluru,10000295,25.0
