city_norm,item_id,month,lag_1_m3,lag_2_m3,rolling_mean_3m_m3,item_city_te,monthly_mrp_median,month_sin,month_cos,item_te,city_te,is_intermittent,month_num,own_price_avg,own_mrp_avg,own_price_sales_wt,comp_price_avg,comp_price_sales_wt,own_wt_osa_avg,own_estimated_budget_consumed_v2,gc_campaign_type,comp_total_impressions,comp_ad_impressions,comp_ad_ratio,platform_revenue_mom_lag1,platform_revenue_log_lag1,city_count_mom_lag1,store_count_mom_lag1,category_size_mom_lag1,brand_category_share_lag1,brand_share_change_lag1,forecasted_qty
agra,10000197,2025-12-01,48.0,68.0,56.666666666666664,48.214285714285715,240.0,-2.4492935982947064e-16,1.0,59.58772473651581,70.74425287356321,0,12,218.6606212343,229.9935227510333,218.87281481677078,174.8469140801,174.89350563502083,0.8468819514766667,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,40.76442
ahmedabad,10000197,2025-12-01,127.0,124.0,121.33333333333333,102.21428571428571,907.5,-2.4492935982947064e-16,1.0,59.58772473651581,140.2876304023845,0,12,223.38098861976667,235.05105923546668,223.5141115982599,174.82335902793332,174.79042079490554,0.6998988066033333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,106.01692
ajmer,10000197,2025-12-01,7.0,6.0,11.666666666666666,7.538461538461538,225.0,-2.4492935982947064e-16,1.0,59.58772473651581,12.345901639344262,0,12,216.53636664729999,227.7175356935,216.7083427085714,166.66426877546667,173.23153504128572,0.9339870665133333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,9.957655
akola,10000197,2025-12-01,5.0,1.0,1.3333333333333333,2.1666666666666665,225.0,-2.4492935982947064e-16,1.0,59.58772473651581,5.230769230769231,0,12,214.0,225.0,214.0,166.7358333334,168.36666666679997,0.6666666666666666,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,3.9392953
aligarh,10000197,2025-12-01,14.0,10.0,10.666666666666666,8.222222222222221,345.0,-2.4492935982947064e-16,1.0,59.58772473651581,23.540659340659342,0,12,218.08333333333334,229.375,216.0,171.76479964324997,169.37098977571426,0.7404445197733334,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,11.101303
alwar,10000197,2025-12-01,6.0,10.0,5.333333333333333,6.461538461538462,360.0,-2.4492935982947064e-16,1.0,59.58772473651581,14.045383411580595,0,12,226.8811777119333,238.8012618342,228.0,186.89478879766665,196.50757575766667,0.5440273376633333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,7.0657396
ambala,10000197,2025-12-01,12.0,9.0,7.333333333333333,6.375,225.0,-2.4492935982947064e-16,1.0,59.58772473651581,11.528901734104046,0,12,215.7630044444,226.8889333333333,216.7222999999167,172.27998052906665,169.50366587308335,0.8055600000066666,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,7.5746064
amravati,10000197,2025-12-01,2.0,5.0,2.6666666666666665,2.5,450.0,-2.4492935982947064e-16,1.0,59.58772473651581,7.728682170542636,0,12,214.0,225.0,214.0,166.01370578433335,164.000040002,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,7.4126043
amritsar,10000197,2025-12-01,94.0,75.0,56.666666666666664,60.07142857142857,675.0,-2.4492935982947064e-16,1.0,59.58772473651581,87.89274447949526,0,12,215.23974937616669,226.32830290303335,215.1652206775532,172.85844996720002,171.5100977468085,0.8982610184733333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,69.67596
anand,10000197,2025-12-01,3.0,6.0,3.6666666666666665,2.7,345.0,-2.4492935982947064e-16,1.0,59.58772473651581,5.78125,0,12,217.68880745776667,228.95229370503333,218.66666666633333,170.97921884843333,169.96670666733334,0.9101164264133333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,6.3711133
ankleshwar,10000197,2025-12-01,10.0,7.0,,6.0,675.0,-2.4492935982947064e-16,1.0,59.58772473651581,3.5286624203821657,0,12,214.93333333333334,226.0,214.0,172.0885897436,176.0533333335,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,10.92094
asansol,10000197,2025-12-01,4.0,3.0,2.0,2.2,240.0,-2.4492935982947064e-16,1.0,59.58772473651581,22.11437908496732,0,12,225.4290056742,237.2453632222,227.44737423825,173.87078051723336,174.87292201449998,0.8585217217566666,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.365296
aurangabad,10000197,2025-12-01,6.0,4.0,3.6666666666666665,3.0,232.5,-2.4492935982947064e-16,1.0,59.58772473651581,6.624605678233438,0,12,222.81048741986666,234.43980794996665,223.24085454849998,185.11501907556666,179.9078614515,0.91328512302,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.2111807
ayodhya,10000197,2025-12-01,11.0,7.0,5.0,4.285714285714286,240.0,-2.4492935982947064e-16,1.0,59.58772473651581,16.043478260869566,0,12,223.15384615384616,234.80769230769232,219.6,170.8365384615769,162.3,0.8666666666666667,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,6.3748536
baddi,10000197,2025-12-01,2.0,2.0,1.6666666666666667,1.8,225.0,-2.4492935982947064e-16,1.0,59.58772473651581,5.692708333333333,0,12,,,,,,,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,2.81481
bahadurgarh,10000197,2025-12-01,18.0,19.0,16.0,14.76923076923077,240.0,-2.4492935982947064e-16,1.0,59.58772473651581,20.754716981132077,0,12,218.52524995403704,229.84848209362966,218.45454159772223,172.31965964755557,171.05449370344445,0.60795858581,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,15.545497
ballari,10000197,2025-12-01,1.0,1.0,,1.0,225.0,-2.4492935982947064e-16,1.0,59.58772473651581,5.0978260869565215,0,12,221.0,232.5,221.0,168.60625000000002,168.60625000000002,0.4666666666666667,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,2.4086065
barabanki,10000197,2025-12-01,3.0,5.0,5.666666666666667,4.428571428571429,225.0,-2.4492935982947064e-16,1.0,59.58772473651581,11.431693989071038,0,12,219.1851851851852,230.55555555555554,221.0,170.743957115,175.125,0.9,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,6.4487
bardhaman,10000197,2025-12-01,7.0,4.0,2.6666666666666665,2.5714285714285716,225.0,-2.4492935982947064e-16,1.0,59.58772473651581,25.142480211081793,0,12,217.26666666666668,228.5,214.0,176.4353835979,177.4246031745714,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.2111807
bareilly,10000197,2025-12-01,25.0,23.0,22.0,18.285714285714285,450.0,-2.4492935982947064e-16,1.0,59.58772473651581,31.971875,0,12,220.6831160494074,232.16048148148147,222.58664800004001,174.67225641466666,175.9339035672,0.7413176414166666,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,22.163656
batala,10000197,2025-12-01,12.0,9.0,4.333333333333333,6.25,232.5,-2.4492935982947064e-16,1.0,59.58772473651581,7.93006993006993,0,12,215.44827586206895,226.55172413793105,215.27272727272728,171.183908046,171.74242424236365,0.9666666666666667,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,7.366648
bathinda,10000197,2025-12-01,13.0,15.0,15.333333333333334,13.923076923076923,225.0,-2.4492935982947064e-16,1.0,59.58772473651581,13.150375939849624,0,12,218.01974735925,229.30687217050001,217.0545768108333,172.05538340208332,168.27194973983333,0.7939398898166666,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,15.538405
begusarai,10000197,2025-12-01,2.0,1.0,1.0,1.25,240.0,-2.4492935982947064e-16,1.0,59.58772473651581,17.69832402234637,0,12,228.0,240.0,228.0,171.1463768116087,176.0,0.7666666666666667,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.1993084
belgaum,10000197,2025-12-01,1.0,4.0,2.6666666666666665,2.142857142857143,225.0,-2.4492935982947064e-16,1.0,59.58772473651581,5.40531561461794,0,12,214.0,225.0,214.0,177.72581404576667,175.719656786,0.9619039456,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.2111807
bengaluru,10000197,2025-12-01,338.0,392.0,359.6666666666667,342.64285714285717,2490.0,-2.4492935982947064e-16,1.0,59.58772473651581,512.8141891891892,0,12,215.70181131466668,226.82240648743334,215.54569985663315,181.83896985386667,181.32524660690237,0.9001379511333333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,324.81708
berhampur,10000197,2025-12-01,1.0,3.0,,2.3333333333333335,215.0,-2.4492935982947064e-16,1.0,59.58772473651581,16.108527131782946,0,12,205.0,215.0,205.0,170.98111111116665,181.0,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.144117
