item_id,item_name,city_norm,month,monthly_qty_sold,monthly_mrp_median,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3m,rolling_mean_6m,rolling_std_3m,rolling_std_6m,cv_3m,cv_6m,slope_3m,slope_6m,zero_count_3m,zero_count_6m,is_intermittent,mean_sales_12m,max_sales_12m,min_sales_12m,month_number_since_launch,is_new_sku_last_3m,month_num,year_num,month_sin,month_cos,item_te,city_te,item_city_te
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),agra,2025-10-01,49.0,480.0,48.0,68.0,60.0,56.0,56.0,58.666666666666664,53.666666666666664,10.066445913694327,9.500877152487895,0.17158714625615332,0.17703497799666887,-6.000000000000008,1.0857142857142896,0.0,0.0,0,50.75,68.0,2.0,14,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,70.74425287356321,48.214285714285715
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),ahmedabad,2025-10-01,158.0,1200.0,127.0,124.0,127.0,109.0,45.0,126.0,114.33333333333333,1.7320508075685481,15.794513815457083,0.013746434980702762,0.13814443570370627,0.0,6.228571428571431,0.0,0.0,0,108.0,161.0,4.0,14,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,140.2876304023845,102.21428571428571
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),ahmednagar,2025-10-01,1.0,225.0,,,,,,,,,,,,,,,,0,,,,0,1,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,2.3424657534246576,
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),ajmer,2025-10-01,13.0,240.0,7.0,6.0,16.0,9.0,2.0,9.666666666666666,9.333333333333334,5.5075705472861,4.320493798939469,0.5697486773054586,0.4629100498863717,-4.5,-0.11428571428571394,0.0,0.0,0,8.083333333333334,16.0,2.0,13,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,12.345901639344262,7.538461538461538
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),akola,2025-10-01,3.0,240.0,5.0,1.0,2.0,2.0,,2.6666666666666665,2.1666666666666665,2.081665999466127,1.4719601443908046,0.7806247497997976,0.6793662204880637,1.4999999999999993,0.3714285714285714,0.0,0.0,0,,,,6,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,5.230769230769231,2.1666666666666665
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),aligarh,2025-10-01,24.0,240.0,14.0,10.0,13.0,8.0,,12.333333333333334,10.0,2.081665999466132,3.033150177621886,0.16878372968644315,0.3033150177621886,0.4999999999999993,1.3142857142857145,0.0,0.0,0,,,,9,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,23.540659340659342,8.222222222222221
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),alwar,2025-10-01,4.0,240.0,6.0,10.0,3.0,8.0,7.0,6.333333333333333,6.0,3.5118845842842457,2.7568097504194986,0.5545080922554072,0.4594682917365831,1.5000000000000004,0.05714285714285768,0.0,0.0,0,6.916666666666667,12.0,3.0,13,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,14.045383411580595,6.461538461538462
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),ambala,2025-10-01,15.0,240.0,12.0,9.0,7.0,5.0,,9.333333333333334,7.333333333333333,2.5166114784235822,2.732520204257341,0.2696369441168124,0.37261639148963743,2.4999999999999996,1.3714285714285712,0.0,0.0,0,,,,8,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,11.528901734104046,6.375
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),amravati,2025-10-01,6.0,225.0,2.0,5.0,1.0,,,2.6666666666666665,,2.081665999466131,,0.7806247497997991,,0.5000000000000006,,0.0,,0,,,,4,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,7.728682170542636,2.5
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),amritsar,2025-10-01,70.0,480.0,94.0,75.0,55.0,84.0,46.0,74.66666666666667,64.16666666666667,19.502136635080088,23.69317763970612,0.2611893299341083,0.3692443268525629,19.499999999999993,5.11428571428572,0.0,0.0,0,63.5,124.0,4.0,14,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,87.89274447949526,60.07142857142857
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),anand,2025-10-01,2.0,232.5,3.0,6.0,3.0,6.0,,4.0,3.6666666666666665,1.732050807568746,1.861898672504149,0.4330127018921865,0.5077905470465861,3.9720546451956377e-16,-0.05714285714285684,0.0,0.0,0,,,,10,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,5.78125,2.7
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),ankleshwar,2025-10-01,11.0,240.0,10.0,7.0,1.0,,,6.0,,4.58257569495579,,0.763762615825965,,4.499999999999999,,0.0,,0,,,,3,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,3.5286624203821657,6.0
10000197,Organic India Tulsi Classic Green Tea Bags(Pack),asansol,2025-10-01,4.0,240.0,4.0,3.0,1.0,,,2.6666666666666665,,1.5275252316517978,,0.5728219618694242,,1.4999999999999998,,0.0,,0,,,,5,0,10,2025,-0.8660254037844386,0.5000000000000001,56.42588996763754,22.11437908496732,2.2
