item_id,item_name
10139178,Tata Tea Gemini Tea
10140052,Organic India Tulsi Honey Lemon Green Tea Bags(Box)
10144355,Tetley Premium Black Leaf Tea (500 g)
10144356,Tetley Premium Black Leaf Tea (250 g)
10145076,Tata Tea Chakra Gold Premium Leaf Tea
10145077,Tata Tea Chakra Gold Premium Leaf Tea(Box)
10145077,Tata Tea Chakra Gold Premium Leaf Tea
10147745,Organic India Premium Speciality Tulsi Tea Green Tea Gift Pack
10147745,Organic India Premium Speciality Tulsi Tea Gift Pack
10147745,Organic India Tulsi Tea Kappa Green Tea Gift Pack
10147746,Organic India Tulsi Wooden Tea Green Tea Gift Pack
10149476,Tata Coffee Grand Premium Instant Coffee - Free Mug(Box)
10156714,Tata Coffee Grand Classic- Instant Coffee(Pouch)
10156714,Tata Coffee Grand Classic Instant Coffee (Strong Taste)
10156714,Tata Coffee Grand Classic- Instant Coffee
10156912,Tata Coffee Gold Hazelnut Instant Coffee - with Free Mug
10156912,Tata Coffee Gold Hazelnut Flavoured Instant Coffee
10156912,Tata Coffee Gold Hazelnut Flavoured Instant Coffee - with Free Mug
10156912,Tata Coffee Gold Hazelnut Flavoured Instant Coffee(Bottle)
10159086,"Tata Tata Tea - Elaichi, 1 Kg Tea"
10159086,Tata Tea Agni Elaichi Tea Leaves
10159086,Tata Tea Agni Elaichi Tea Leaves(Pack)
10159513,Tata Coffee Grand Classic Instant Coffee
10159513,Tata Coffee Grand Classic Strong Instant Coffee
10159513,Tata Coffee Grand Classic Instant Coffee(Jar)
10159648,Tata Coffee Filter Coffee Decoction Liquid Degree Kaapi
10159648,Tata Coffee Filter Coffee Decoction Liquid Degree Kaapi(Pack)
10159648,Tata Coffee Quick Filter Coffee(Pouch)
10159648,Tata Coffee Quick Decoction Premix Liquid Degree Kaapi Filter Coffee
10159658,Tata Coffee Grand Classic Instant Coffee
10159658,Tata Coffee Grand Classic- Instant Coffee
10159658,Tata Coffee Grand Classic- Instant Coffee(Pouch)
10159659,Tata Coffee Quick Decoction Premix Liquid Coorg Kaapi Filter Coffee
10159659,Tata Coffee Quick Filter Coffee
10159659,Tata Coffee Filter Coffee Decoction Liquid Coorg Kaapi
10159659,Tata Coffee Filter Coffee Decoction Liquid Coorg Kaapi(Pack)
10159675,Tata Coffee Filter Coffee Decoction Liquid Chukku Kaapi
10159675,Tata Coffee Quick Chukku Kappi Filter Coffee
10159675,Tata Coffee Quick Filter Coffee
10159797,Tata Coffee Grand Premium Instant Coffee
10159797,Tata Coffee Grand Premium Instant Coffee(Packet)
10159798,Tata Coffee Grand Premium Instant Coffee(Packet)
10159798,Tata Coffee Grand Premium Instant Coffee (100 g)
10159798,Tata Coffee Grand Premium Instant Coffee
10159799,Tata Coffee Grand Premium Instant Coffee (90 g)
10159799,Tata Coffee Grand Premium - Instant Coffee
10159799,Tata Coffee Grand Premium - Instant Coffee(Jar)
10160080,Tata Tea Gold Vita Care Tea
10160080,Tata Tea Gold Vita Care Tea(Pack)
10160081,Tata Tea Gold Vita Care Tea
10160082,Tata Tea Gold Liquid Lemon Honey Instant Tea Premix
