city_norm,item_id,month,gc_campaign_type,own_direct_sales_v2,own_indirect_sales_v2,own_estimated_budget_consumed_v2,comp_total_impressions,comp_ad_impressions,comp_organic_impressions,comp_generic_kw_ad_impr,comp_generic_kw_org_impr,comp_brand_kw_ad_impr,comp_brand_kw_org_impr,comp_comp_kw_ad_impr,comp_comp_kw_org_impr,comp_kw_weighted_impr,comp_generic_kw_weighted_ad_impr,comp_generic_kw_weighted_org_impr,comp_brand_kw_weighted_ad_impr,comp_brand_kw_weighted_org_impr,comp_comp_kw_weighted_ad_impr,comp_comp_kw_weighted_org_impr,own_median_most_viewed_position,own_median_ad_rank,own_median_org_rank,comp_ad_ratio,comp_brand_visibility_ratio,comp_generic_visibility_ratio,own_best_viewed_position,num_comp_pids,comp_ad_share_monthly
chennai,10000197,2025-10-01,Product Booster,348862895.9018148,273199486.70687234,204338901.6685227,1372915.77,293635.3052,1079280.4648,264671.0832,983531.29,3468.4368,1134.7648,25495.7852,94614.41,951.949834704,278.744149872,654.822959212,1.9076402399999999,0.495213368,1.522968368,14.456903644,5.0736369910326085,10.576086956521738,20.33423913043478,0.20645156225645162,0.0017807425264516129,0.18556927774935483,1.0,11,0.21387714499047528
chennai,10000197,2025-10-01,Recommendation Ads,51866316.8452162,111229166.82243314,17136251.49454894,999840.8325,213843.1027,785997.7298,192749.5932,716267.3525,2525.9267999999997,826.4048,18567.5827,68903.9725,693.267814404,202.99845697199999,476.881937687,1.38925974,0.360644518,1.109118268,10.528397219,0.0,9.776119402985074,24.79850746268657,0.20645156225645162,0.0017807425264516129,0.18556927774935483,0.0,11,0.21387714499047525
chennai,10000295,2025-10-01,Product Booster,12827528.21205294,0.0,9862470.27775885,532558.3588,140482.0872,392076.2716,113430.2,294990.0772,0.0,36741.0628,27051.8872,60345.1316,758.252852916,190.950652984,545.850503744,0.0,16.212553916,1.658909616,3.580232656,2.3076923076923075,0.0,11.044444444444444,0.2631348984251613,0.0,0.21053951511548388,1.0,13,0.2637872167034326
chennai,10000296,2025-10-01,Product Booster,91647654.57836667,172056554.5615222,127803100.91707577,614579.9234,106950.9134,507629.01,96246.7444,460410.8538,1281.8136,765.1632,9422.3554,46452.993,790.295418294,101.933269764,680.861934204,0.70499748,0.331973144,0.562836136,5.900407566,1.638655462117647,7.352941176470588,13.926470588235293,0.16909085155870968,0.0015196333446774195,0.15185085113677418,1.0,13,0.17402279073537338
chennai,10000867,2025-10-01,Recommendation Ads,7052896.727393722,57623.49941642,4061477.775983531,518446.482,85016.472,433430.01,66912.624,335049.738,0.0,42513.0,18103.848,55867.272000000004,810.73183674,138.84808902,648.93806856,0.0,18.85658496,0.83338884,3.25570536,0.0,0.0,17.925,0.15048375207903225,0.0,0.11286192397845161,0.0,11,0.1639831206338478
chennai,10004350,2025-10-01,Product Booster,1752.7136115073,385.957229329828,355.26062799552,419604.98960000003,209421.69759999998,210183.29200000002,205155.7128,160641.3104,3468.4368,1255.3952,797.548,48286.5864,315.545141172,211.5317222,98.733170604,1.9076402399999999,0.5422319,0.02446556,2.805910668,2.5416586894347826,8.448148148155555,23.041666666666668,0.4793778743806451,0.005771310490645161,0.4717548684774193,1.0,9,0.49909248648267257
chennai,10004350,2025-10-01,Recommendation Ads,152.879857581635,546.91761607485,87.77123418401668,419604.98960000003,209421.69759999998,210183.29200000002,205155.7128,160641.3104,3468.4368,1255.3952,797.548,48286.5864,315.545141172,211.5317222,98.733170604,1.9076402399999999,0.5422319,0.02446556,2.805910668,0.0,7.988888888888889,21.608695652173914,0.4793778743806451,0.005771310490645161,0.4717548684774193,0.0,9,0.49909248648267257
chennai,10004351,2025-10-01,Product Booster,252161398.38443512,259673261.37668985,161515175.2505072,1372915.77,293635.3052,1079280.4648,264671.0832,983531.29,3468.4368,1134.7648,25495.7852,94614.41,951.949834704,278.744149872,654.822959212,1.9076402399999999,0.495213368,1.522968368,14.456903644,3.8430375181086958,6.50561797752809,14.564311594195653,0.20645156225645162,0.0017807425264516129,0.18556927774935483,1.0,11,0.21387714499047528
chennai,10004351,2025-10-01,Recommendation Ads,79657339.49280345,227135939.7757183,41679228.99719772,1372915.77,293635.3052,1079280.4648,264671.0832,983531.29,3468.4368,1134.7648,25495.7852,94614.41,951.949834704,278.744149872,654.822959212,1.9076402399999999,0.495213368,1.522968368,14.456903644,0.0,5.629213483146067,21.76086956521739,0.20645156225645162,0.0017807425264516129,0.18556927774935483,0.0,11,0.21387714499047528
chennai,10004353,2025-10-01,Recommendation Ads,8902146.839214996,30394965.316867094,4561354.411316977,1653844.3204,417260.7744,1236583.546,387911.2564,1117269.9328,3468.4368,1477.152,25881.0812,117836.4612,1104.800983924,353.51573068,731.617505388,1.9076402399999999,0.638219916,1.526821328,15.595066372,0.0,0.0,18.88586956521739,0.24003807784838707,0.0015113440277419355,0.22255859554387097,0.0,14,0.25229749212373326
chennai,10006207,2025-10-01,Product Booster,309097.4831698508,0.0,461614.72804588196,492098.8852,50172.4548,441926.4304,46108.7068,382961.098,922.402,34714.7268,3141.346,24250.6056,878.053566468,84.00262312,777.600571488,0.11068824000000001,14.905905196,0.098708948,1.335069476,2.3076923076923075,4.0,22.16346153846154,0.08414013742148387,0.0016202943032258064,0.0771587920193613,1.0,13,0.10195604239096942
chennai,10006611,2025-10-01,Product Booster,19605905.48488171,25329650.126807004,19078650.862347707,235322.668,103150.38,132172.288,91325.084,107378.808,8614.284,148.864,3211.012,24644.615999999998,105.30580292,41.05328488,60.27872284,0.34457136,0.06217676,0.04787372,3.51917336,4.09827256075,9.580645161290322,12.4625,0.4293442166741935,0.03799774508032258,0.3770501057483871,1.0,12,0.4383359277568619
chennai,10007377,2025-10-01,Product Booster,2104515457.020243,0.0,1012605605.6834862,2214002.952,1127433.8592,1086569.0928,939594.96,815511.1392,115835.328,111513.7152,72003.5712,159544.2384,3217.922449344,1598.52143304,1494.185733504,63.7094304,48.84341328,4.108571712,8.553867408,3.3291966135625,4.183098591549296,9.535211267605634,0.49058971811290325,0.04054723811612903,0.41498627107096775,1.0,22,0.5092287063942451
chennai,10007703,2025-10-01,Product Booster,1922483100.0777063,0.0,1766201645.710475,2006299.1585,924153.1117,1082146.0468,816097.555,831926.368,79779.9184,103376.1365,28275.6383,146843.5423,3169.955370309,1553.886228258,1515.984934191,43.87895512,45.33771606,2.226462238,8.641074442,6.55167363823077,10.172413793103448,17.632183908045977,0.43899067257419355,0.029752792030967742,0.3946211388096774,1.0,17,0.46062577845615943
