city_norm,item_id,month,own_avg_osa_wt,own_weighted_osa_wt,own_avg_listed_osa_wt,own_weighted_listed_osa_wt,comp_avg_osa_wt,comp_weighted_osa_wt,comp_avg_listed_osa_wt,comp_weighted_listed_osa_wt,own_osa_avg,own_wt_osa_avg,own_listed_osa_avg,own_wt_listed_osa_avg,comp_osa_avg,comp_wt_osa_avg,comp_listed_osa_avg,comp_wt_listed_osa_avg,own_avg_osa_min,own_wt_osa_min,own_listed_osa_min,own_wt_listed_osa_min,comp_avg_osa_min,comp_wt_osa_min,comp_listed_osa_min,comp_wt_listed_osa_min,own_avg_osa_max,own_listed_osa_max,comp_avg_osa_max,comp_listed_osa_max,num_days_own_oos,num_days_own_wt_oos,num_days_own_listed_oos,num_days_comp_oos,num_days_comp_wt_oos,num_days_comp_listed_oos,num_days_comp_oos_while_tata_ok
pune,10037406,2025-10-01,0.9531646387283237,0.9527581209745664,0.9531646387283237,0.9527581209745664,0.6578172828098323,0.6397579213078035,0.8890833034094279,0.8770327950205203,0.954284129032258,0.953970705332258,0.954284129032258,0.953970705332258,0.6573782188421291,0.6391565360741935,0.8893458201668387,0.8771577216483871,0.901235,0.9124665184,0.901235,0.9124665184,0.636515962963,0.6190075428,0.853899219512,0.8329719109,1.0,1.0,0.68408817284,0.918462469136,0,0,0,31,31,0,31
pune,10037407,2025-10-01,0.9432619415584417,0.9459692321493506,0.9436577532467534,0.9464546746038963,0.6586420412910713,0.6403383838833334,0.890288319056788,0.8774590707647187,0.9443328387096774,0.9479237696032258,0.9447260967741935,0.9484060801709677,0.657498648148129,0.6392085731548387,0.8894331961952259,0.8772262007483872,0.814815,0.787798151,0.814815,0.787798151,0.636791320988,0.6189010423,0.853947609756,0.8330785729,0.987654,0.987654,0.684175283951,0.919143296296,0,1,0,31,31,0,31
pune,10062514,2025-10-01,0.9647556190476191,0.9609234718476191,0.978005619047619,0.9713226933999999,0.6589829184522857,0.6412236146142858,0.8869057357804285,0.8733260796095239,0.9614429999999999,0.9561682189419355,0.9750345161290322,0.9664786032709677,0.6491312040521935,0.6310715268612903,0.8859009081958388,0.8731576237741936,0.925926,0.8939819312,0.9375,0.9043474934,0.6149400875,0.6014036333,0.853576740741,0.8327711368,0.987654,1.0,0.680125481481,0.915934246914,0,0,0,31,31,0,31
pune,10065362,2025-10-01,0.9670338076923077,0.9673458394076923,0.9688856538461538,0.9686982409153846,0.6895243852588654,0.6653958082557693,0.9365789719347499,0.9355716240519232,0.9669989032258065,0.9685053024580645,0.9685470967741936,0.9696337922451613,0.6917726733065807,0.6672729791580645,0.9365957987760645,0.9356541705516128,0.938272,0.9216856365,0.938272,0.9216856365,0.663668493827,0.6359891866,0.909465061728,0.9053337995,0.987805,0.987805,0.726749049383,0.958436234568,0,0,0,31,31,0,31
pune,10073508,2025-10-01,0.9732763124999999,0.9691132421333332,0.9742793958333333,0.9700831125749999,0.0351096109176875,0.0054018380194791665,0.03637993612091667,0.005716509279479166,0.9721762580645161,0.9682514334,0.9725645483870968,0.9686268671193549,0.03714277068351613,0.005684133599967742,0.03753616171419355,0.005781580183709677,0.938272,0.9203286152,0.938272,0.9203286152,0.012195121951,0.003020844096,0.024390243902,0.00514086875,1.0,1.0,0.04,0.04,0,0,0,31,31,31,31
pune,10073511,2025-10-01,0.061728,0.057776455695,0.7291665,0.8093827577,0.6562849431819999,0.42396772039999997,0.8806140560065,0.5778540670500001,0.052083000000000004,0.04959952373483871,0.6178188064516129,0.6896022462709678,0.6696617221457096,0.3932634175,0.8886522643393872,0.5290164589129032,0.024691,0.02402513865,0.4,0.4210559555,0.611659372881,0.3333294167,0.816641542373,0.4348341885,0.074074,0.833333,0.716700622222,0.953773023256,31,31,26,31,31,0,0
pune,10073514,2025-10-01,0.8662701877394634,0.859390240338889,0.8941360363984674,0.8920864175444445,0.7380634976671666,0.7261137485275863,0.8735571187924349,0.8660101443657087,0.8695108064516128,0.8628771335,0.8895446451612903,0.8862577632548387,0.7380216498912904,0.7263779485,0.8715036285369032,0.8636833957838709,0.641975,0.6236287782,0.641975,0.6236287782,0.6690204625,0.6509869919,0.831779851852,0.8238396008,1.0,1.0,0.81261845679,0.938735222222,10,11,7,27,31,0,17
pune,10073515,2025-10-01,0.9716819444444444,0.9679036869366667,0.9720583444444444,0.9679039895366668,0.7414492652354555,0.7284400046255557,0.9128309298595222,0.9073626611122222,0.9718215806451613,0.9670980006516129,0.9721858387096775,0.9670982934903226,0.7433091648070645,0.730015124483871,0.9157584451590645,0.9104364402548387,0.914634,0.9052809616,0.925926,0.9052900396,0.712230654321,0.6987894283,0.878903469136,0.8747265566,1.0,1.0,0.773511283951,0.952442790123,0,0,0,31,31,0,31
pune,10074853,2025-10-01,0.075447875,0.08647444857749999,0.6586041249999999,0.5961198046625,0.6432983514609999,0.2061505845125,0.8656949090907501,0.27354944541250004,0.060417,0.06569203708096776,0.5897524838709677,0.5231273107419354,0.6615569859656452,0.2087451577483871,0.8686810652841612,0.2700580893903226,0.024691,0.01690142749,0.4,0.300003,0.612279142857,0.193743445,0.824649136364,0.2428201307,0.111111,0.818182,0.701393047619,0.902266238095,31,31,29,31,31,0,0
pune,10106292,2025-10-01,0.9385786346153845,0.9301960580634616,0.9562683076923076,0.9504790237307692,0.7268393732729039,0.7115862201519231,0.934695398542904,0.9313421142346152,0.9514915483870968,0.9445426345225806,0.9666705161290322,0.961209206267742,0.7353708319992903,0.7201812232935484,0.9411671542612903,0.9376708534,0.901235,0.8870514264,0.924051,0.91999952,0.663382,0.6404263504,0.894929493827,0.8889893018,1.0,1.0,0.757554765432,0.971301209877,0,0,0,31,31,0,31
pune,10110034,2025-10-01,0.8886173539325842,0.9072417302314606,0.8935471741573032,0.9086794601320225,0.5151494254582359,0.4933333186994381,0.7672449319456682,0.7512107679123595,0.9073393870967742,0.9218165931322582,0.9118110967741936,0.9231723662967742,0.5329076226263548,0.5118802346516129,0.7976718011383871,0.7837670806129032,0.753086,0.8042836461,0.753086,0.8042836461,0.41039882716,0.4044382656,0.596902938272,0.6023263021,1.0,1.0,0.635142617284,0.959073098765,6,0,6,31,31,15,25
