city_norm,fe_city_name,tcpl_plant_code
shillong,Shillong,1495.0
muzaffarnagar,Muzaffarnagar,1484.0
hazaribagh,Hazaribagh,1265.0
ahmednagar,Ahmednagar,1235.0
jalgaon,Jalgaon,1235.0
morbi,Morbi,1253.0
junagadh,Junagadh,1253.0
sangli,Sangli,1241.0
deoghar,Deoghar,1579.0
mainpuri,Mainpuri,1477.0
nizamabad,Nizamabad,1483.0
muradnagar,NCR,1214.0
hardoi,HARDOI,1477.0
ratlam,Ratlam,1225.0
kashipur,NCR,1214.0
bijnor,BIJNOR,1484.0
bilaspur,Bilaspur,1226.0
ongole,Ongole,1137.0
bihar sharif,Bihar Sharif,1579.0
noida,NCR,1214.0
